model_component,feature_group,importance_pct
allocate_group_classifier,max_demand,0.2499404102563858
allocate_group_classifier,Proj. Demand,0.24965417385101318
allocate_group_classifier,TTM,0.2494858354330063
allocate_group_classifier,MIL,0.24939805269241333
allocate_group_classifier,has_alloc_rec,0.2475210279226303
allocate_group_classifier,lw_month_to_l30,0.24750179052352905
allocate_group_classifier,rec_minus_pressure,0.24689804017543793
allocate_group_classifier,rank_score,0.246496319770813
allocate_group_classifier,LW,0.24507713317871094
allocate_group_classifier,d30_to_d60,0.24384337663650513
allocate_group_classifier,demand_pressure,0.2428530752658844
allocate_group_classifier,d30_gap,0.2390058934688568
review_flm_regressor,Line Name category signal,33.57257454097271
review_flm_regressor,Site category signal,25.279640331864357
review_flm_regressor,Class Name category signal,25.150872841477394
review_flm_regressor,Dc Avail Bucket category signal,2.1450670063495636
review_flm_regressor,Flag category signal,2.1121029555797577
review_flm_regressor,Rank category signal,2.092493921518326
review_flm_regressor,MIL,0.2794589102268219
review_flm_regressor,zero_supply,0.2746128439903259
review_flm_regressor,dc_flms_capped,0.2745762765407562
review_flm_regressor,supply_to_d60,0.26907503604888916
review_flm_regressor,dc_flms,0.2673720121383667
review_flm_regressor,rank_score,0.26704081892967224
review_flm_regressor,rec_minus_pressure,0.2669556438922882
review_flm_regressor,LW,0.2663605809211731
review_flm_regressor,has_dc_avail,0.26626983284950256
review_flm_regressor,Supply,0.26441964507102966
review_flm_regressor,FLM,0.2643202245235443
review_flm_regressor,D30,0.2638205289840698
review_flm_regressor,d60_gap,0.26337432861328125
review_flm_regressor,lw_month_to_l30,0.26253172755241394
review_flm_regressor,d30_gap,0.2622881531715393
review_flm_regressor,Proj. Demand,0.262129545211792
review_flm_regressor,l30_to_d30,0.2620295286178589
review_flm_regressor,demand_pressure,0.26119673252105713
review_flm_regressor,rec_flms,0.25998586416244507
review_flm_regressor,d30_to_d60,0.2593410313129425
review_flm_regressor,weak_demand,0.25924235582351685
review_flm_regressor,avg_demand,0.2586122751235962
review_flm_regressor,supply_to_d30,0.25799790024757385
review_flm_regressor,D60,0.25779905915260315
review_flm_regressor,supply_to_proj,0.25760456919670105
review_flm_regressor,has_alloc_rec,0.25742700695991516
review_flm_regressor,rec_cost_value,0.2569584250450134
review_flm_regressor,mil_gap,0.25639763474464417
review_flm_regressor,max_demand,0.25565990805625916
review_flm_regressor,ttm_monthly,0.2555488049983978
review_flm_regressor,L30,0.2553517520427704
review_flm_regressor,Alloc. Rec.,0.25495195388793945
review_flm_regressor,TTM,0.2523807883262634
review_flm_regressor,Dc Avail,0.2511805295944214
review_flm_regressor,supply_cost_value,0.250162810087204
review_flm_regressor,proj_gap,0.2474374771118164
review_flm_regressor,Cost,0.24538254737854004
review_group_classifier,Line Name category signal,33.78448510169983
review_group_classifier,Site category signal,25.37923687696457
review_group_classifier,Class Name category signal,24.866037756204605
review_group_classifier,Dc Avail Bucket category signal,2.1171863079071045
review_group_classifier,Rank category signal,2.086445778608322
review_group_classifier,Flag category signal,2.0558903217315674
review_group_classifier,supply_to_proj,0.3005228042602539
review_group_classifier,dc_flms,0.3002604842185974
review_group_classifier,d60_gap,0.2850322723388672
review_group_classifier,dc_flms_capped,0.28501567244529724
review_group_classifier,supply_to_d30,0.2787526249885559
review_group_classifier,Dc Avail,0.2781583368778229
review_group_classifier,Cost,0.2691981792449951
review_group_classifier,supply_cost_value,0.2682960629463196
review_group_classifier,Supply,0.26746317744255066
review_group_classifier,l30_to_d30,0.2665894031524658
review_group_classifier,mil_gap,0.266173779964447
review_group_classifier,FLM,0.2649969160556793
review_group_classifier,Alloc. Rec.,0.2642975449562073
review_group_classifier,rank_score,0.2634718418121338
review_group_classifier,zero_supply,0.26255157589912415
review_group_classifier,proj_gap,0.26245832443237305
review_group_classifier,D60,0.2617731988430023
review_group_classifier,avg_demand,0.2614295482635498
review_group_classifier,D30,0.2605266869068146
review_group_classifier,weak_demand,0.2595788538455963
review_group_classifier,supply_to_d60,0.2593967318534851
review_group_classifier,L30,0.2587590515613556
review_group_classifier,ttm_monthly,0.25815680623054504
review_group_classifier,Proj. Demand,0.255665123462677
review_group_classifier,max_demand,0.255461186170578
review_group_classifier,has_dc_avail,0.2548406422138214
review_group_classifier,TTM,0.25464892387390137
review_group_classifier,LW,0.25379854440689087
review_group_classifier,rec_minus_pressure,0.25361618399620056
review_group_classifier,lw_month_to_l30,0.2528526484966278
review_group_classifier,rec_flms,0.25267380475997925
review_group_classifier,MIL,0.24988092482089996
review_group_classifier,d30_gap,0.24767041206359863
review_group_classifier,has_alloc_rec,0.24724118411540985
review_group_classifier,rec_cost_value,0.2467375248670578
review_group_classifier,demand_pressure,0.24672618508338928
review_group_classifier,d30_to_d60,0.23604810237884521
