model_component,feature,importance_pct,feature_group
allocate_flm_regressor,hash__Class Name__55,0.26840341091156006,Class Name category signal
allocate_flm_regressor,hash__Line Name__98,0.2682938575744629,Line Name category signal
allocate_flm_regressor,hash__Class Name__61,0.26820260286331177,Class Name category signal
allocate_flm_regressor,hash__Line Name__104,0.26816287636756897,Line Name category signal
allocate_flm_regressor,hash__Class Name__50,0.2680026888847351,Class Name category signal
allocate_flm_regressor,hash__Line Name__64,0.267861008644104,Line Name category signal
allocate_flm_regressor,hash__Line Name__69,0.2678350508213043,Line Name category signal
allocate_flm_regressor,FLM,0.26771315932273865,FLM
allocate_flm_regressor,hash__Line Name__12,0.26765176653862,Line Name category signal
allocate_flm_regressor,hash__Class Name__4,0.2675837278366089,Class Name category signal
allocate_flm_regressor,hash__Site__1,0.2675600051879883,Site category signal
allocate_flm_regressor,hash__Site__65,0.26741161942481995,Site category signal
allocate_flm_regressor,has_dc_avail,0.2671329975128174,has_dc_avail
allocate_flm_regressor,hash__Site__84,0.2671133875846863,Site category signal
allocate_flm_regressor,hash__Line Name__19,0.2670866549015045,Line Name category signal
allocate_flm_regressor,hash__Line Name__43,0.2669726610183716,Line Name category signal
allocate_flm_regressor,hash__Class Name__47,0.26681002974510193,Class Name category signal
allocate_flm_regressor,hash__Line Name__11,0.2666992247104645,Line Name category signal
allocate_flm_regressor,hash__Site__48,0.26665228605270386,Site category signal
allocate_flm_regressor,hash__Line Name__71,0.2666037678718567,Line Name category signal
allocate_flm_regressor,hash__Class Name__66,0.266560435295105,Class Name category signal
allocate_flm_regressor,hash__Class Name__64,0.2665082514286041,Class Name category signal
allocate_flm_regressor,hash__Class Name__95,0.26648029685020447,Class Name category signal
allocate_flm_regressor,hash__Class Name__27,0.26644614338874817,Class Name category signal
allocate_flm_regressor,hash__Class Name__42,0.26643234491348267,Class Name category signal
allocate_flm_regressor,hash__Site__3,0.266387939453125,Site category signal
allocate_flm_regressor,hash__Class Name__11,0.26632264256477356,Class Name category signal
allocate_flm_regressor,rank_score,0.2663210332393646,rank_score
allocate_flm_regressor,hash__Line Name__75,0.2663029134273529,Line Name category signal
allocate_flm_regressor,hash__Class Name__51,0.2662760317325592,Class Name category signal
allocate_flm_regressor,hash__Line Name__33,0.2662705183029175,Line Name category signal
allocate_flm_regressor,hash__Line Name__70,0.266259104013443,Line Name category signal
allocate_flm_regressor,hash__Site__87,0.2661924660205841,Site category signal
allocate_flm_regressor,rec_minus_pressure,0.2661856710910797,rec_minus_pressure
allocate_flm_regressor,hash__Class Name__20,0.26611804962158203,Class Name category signal
allocate_flm_regressor,hash__Line Name__52,0.2660054564476013,Line Name category signal
allocate_flm_regressor,hash__Line Name__35,0.26595407724380493,Line Name category signal
allocate_flm_regressor,hash__Class Name__89,0.26594194769859314,Class Name category signal
allocate_flm_regressor,hash__Class Name__78,0.26589691638946533,Class Name category signal
allocate_flm_regressor,hash__Class Name__81,0.26586106419563293,Class Name category signal
allocate_flm_regressor,hash__Line Name__94,0.2658441364765167,Line Name category signal
allocate_flm_regressor,hash__Site__14,0.2657739818096161,Site category signal
allocate_flm_regressor,hash__Dc Avail Bucket__1,0.265717476606369,Dc Avail Bucket category signal
allocate_flm_regressor,hash__Line Name__112,0.26563823223114014,Line Name category signal
allocate_flm_regressor,hash__Class Name__38,0.2655896246433258,Class Name category signal
allocate_flm_regressor,hash__Site__75,0.2655376195907593,Site category signal
allocate_flm_regressor,hash__Site__10,0.2653976380825043,Site category signal
allocate_flm_regressor,hash__Site__11,0.26531851291656494,Site category signal
allocate_flm_regressor,hash__Class Name__94,0.2652612626552582,Class Name category signal
allocate_flm_regressor,hash__Line Name__0,0.2651253938674927,Line Name category signal
allocate_flm_regressor,hash__Site__24,0.2649487555027008,Site category signal
allocate_flm_regressor,hash__Site__55,0.2647736370563507,Site category signal
allocate_flm_regressor,hash__Dc Avail Bucket__4,0.2647239863872528,Dc Avail Bucket category signal
allocate_flm_regressor,hash__Line Name__76,0.26471173763275146,Line Name category signal
allocate_flm_regressor,hash__Site__90,0.2647095322608948,Site category signal
allocate_flm_regressor,hash__Site__21,0.26470425724983215,Site category signal
allocate_flm_regressor,hash__Class Name__29,0.26462411880493164,Class Name category signal
allocate_flm_regressor,hash__Site__40,0.264600545167923,Site category signal
allocate_flm_regressor,hash__Site__52,0.26455336809158325,Site category signal
allocate_flm_regressor,hash__Class Name__3,0.26453080773353577,Class Name category signal
allocate_flm_regressor,hash__Line Name__24,0.2644840478897095,Line Name category signal
allocate_flm_regressor,hash__Site__79,0.26442864537239075,Site category signal
allocate_flm_regressor,hash__Line Name__61,0.26436659693717957,Line Name category signal
allocate_flm_regressor,hash__Site__36,0.2643558979034424,Site category signal
allocate_flm_regressor,hash__Line Name__123,0.26424139738082886,Line Name category signal
allocate_flm_regressor,hash__Line Name__18,0.26418113708496094,Line Name category signal
allocate_flm_regressor,hash__Line Name__40,0.2641586661338806,Line Name category signal
allocate_flm_regressor,hash__Line Name__26,0.26412108540534973,Line Name category signal
allocate_flm_regressor,hash__Class Name__28,0.26407590508461,Class Name category signal
allocate_flm_regressor,hash__Class Name__91,0.26403185725212097,Class Name category signal
allocate_flm_regressor,hash__Class Name__46,0.26399660110473633,Class Name category signal
